,City,City ID,Latitude,Longitude,Temperature,Weather Description,Humidity,Cloudiness,Wind Speed,Country
200,Rabo De Peixe,6899,37.8,-25.5833,69.31400000000004,scattered clouds,88,40,6.9121446,PT
201,Fairbanks,2017395,64.8378,-147.7164,55.11200000000006,clear sky,60,1,3.4448876000000004,US
202,Ozark,2004550,37.0209,-93.206,76.51400000000004,clear sky,77,1,9.5293644,US
203,Rabat,2402,33.9911,-6.8401,69.96200000000006,broken clouds,92,75,10.3570322,MA
204,Puerto Colombia,8584,10.9878,-74.9547,77.09000000000003,overcast clouds,81,97,5.3239172,CO
205,Mastic Beach,2039923,40.7668,-72.8521,71.36600000000001,moderate rain,79,20,2.9974996000000003,US
206,Fevik,1617,58.3794,8.6766,44.36600000000001,overcast clouds,87,88,5.525241800000001,NO
207,Nhulunbuy,9576,-12.2333,136.7667,90.21200000000006,scattered clouds,48,40,12.661080400000001,AU
208,Los Gatos,2009894,37.2266,-121.9747,65.2100000000001,clear sky,63,1,1.9908766000000002,US
209,Campbell River,2036760,50.0163,-125.2446,58.51400000000004,overcast clouds,69,100,2.0803542000000004,CA
210,Vardo,1682,70.3705,31.1107,39.398000000000025,overcast clouds,74,100,16.7323112,NO
211,Rio Gallegos,8293,-51.6226,-69.2181,44.65400000000005,broken clouds,57,75,12.661080400000001,AR
212,Bronnoysund,1611,65.4625,12.1997,44.6,overcast clouds,87,90,5.7489358,NO
213,Roma,2007612,43.2128,-75.4557,58.424000000000014,clear sky,90,1,3.4448876000000004,US
214,Vila Velha,8474,-20.3297,-40.2925,75.14600000000004,clear sky,83,0,16.105968,BR
215,Itoman,8137,26.1247,127.6694,87.8180000000001,broken clouds,79,75,14.965128600000002,JP
216,Sivas,6962,39.7916,37.0019,48.83000000000004,clear sky,81,0,3.4448876000000004,TR
217,Guaymas,2010308,27.9333,-110.9,84.61400000000003,clear sky,59,0,4.2725554,MX
218,Kuruman,2040056,-27.4524,23.4325,56.983999999999995,clear sky,21,0,8.4556332,ZA
219,Mehamn,1633,71.0357,27.8492,39.14600000000005,broken clouds,87,75,9.216192800000002,NO
220,Laguna,5769,38.421,-121.4238,83.71400000000003,haze,30,1,5.7489358,US
221,Natal,8452,-5.795,-35.2094,75.84800000000003,broken clouds,94,75,4.608096400000001,BR
222,Pisco,8691,-13.7,-76.2167,57.254000000000055,clear sky,88,4,1.1408394000000002,PE
223,Takaka,2002166,-40.85,172.8,55.562000000000054,broken clouds,76,59,7.1358386000000005,NZ
224,Tekari,9115,24.9333,84.8333,80.816,overcast clouds,88,100,18.454755000000002,IN
225,Sidney,2018875,-33.8679,151.2073,58.208000000000006,light rain,76,48,2.9974996000000003,AU
226,Rancho Palos Verdes,2007422,33.7445,-118.387,66.29000000000002,few clouds,75,20,1.9908766000000002,US
227,Wageningen,2004560,51.9667,5.6667,55.09400000000008,mist,94,86,4.608096400000001,NL
228,Guaruja,2033898,-23.9931,-46.2564,89.38399999999999,overcast clouds,74,99,1.6329662,BR
229,Mayo,2005357,38.8876,-76.5119,73.41800000000009,clear sky,91,1,0.0,US
230,Vila Do Maio,2462,15.1333,-23.2167,77.792,broken clouds,82,67,5.8384134,CV
231,Uniontown,2005088,39.9001,-79.7164,68.82800000000006,clear sky,51,8,5.525241800000001,US
232,Qaqortoq,47,60.7167,-46.0333,34.30400000000005,clear sky,69,0,1.9461378,GL
233,Kiruna,1771,67.8557,20.2251,34.71800000000009,light rain,93,90,8.052984,SE
234,Arrecife,2379,28.963,-13.5477,73.38200000000002,clear sky,83,0,5.7489358,ES
235,Henderson,38662,36.0397,-114.9819,96.31400000000004,clear sky,15,1,9.216192800000002,US
236,Fukuma,7998,33.7667,130.4667,75.2,moderate rain,95,100,8.2095698,JP
237,Launceston,2031746,-41.45,147.1667,58.26200000000006,few clouds,48,20,4.0041226000000005,AU
238,Uglyanets,9034,51.8191,39.5961,59.09000000000002,scattered clouds,67,37,4.9436374,RU
239,Sosnovoborsk,8957,56.1325,93.3589,51.35,few clouds,48,20,12.9966214,RU
240,Enfield,2009718,-34.8526,138.6026,59.88200000000002,overcast clouds,53,100,5.010745600000001,AU
241,Margate,1419,51.3813,1.3862,61.86200000000006,overcast clouds,90,99,11.3860246,GB
242,Banjar,9333,-8.19,114.9675,84.05600000000004,scattered clouds,63,32,3.690951,ID
243,La Palma,2010205,33.8464,-118.0467,70.52000000000007,clear sky,70,1,1.006623,US
244,Houston,2006306,29.7633,-95.3633,72.03200000000001,mist,81,90,15.994121000000002,US
245,Clemson,3596,34.6834,-82.8374,70.592,clear sky,91,1,0.0,US
246,Bud,2006000,39.447,-86.1758,72.19400000000007,overcast clouds,82,88,6.039738000000001,US
247,Playa Del Carmen,2003141,20.6274,-87.0799,80.9600000000001,few clouds,85,20,3.4448876000000004,MX
248,Mountain Home,2040568,43.133,-115.6912,66.14600000000004,broken clouds,30,67,8.925390600000002,US
249,Dakar,2410,14.6937,-17.4441,81.48200000000003,overcast clouds,85,98,14.8309122,SN
250,Bairiki,7300,1.3292,172.9752,87.80000000000001,few clouds,66,20,14.965128600000002,KI
251,Kihei,7879,20.785,-156.4656,82.22000000000006,scattered clouds,64,40,20.7140644,US
252,Hambantota,9124,6.1241,81.1185,82.74199999999999,few clouds,89,20,11.4978716,LK
253,Gharo,7576,24.7424,67.5856,84.41600000000001,overcast clouds,61,100,10.5807262,PK
254,Capreol,2004030,46.706,-80.9225,51.29600000000005,broken clouds,84,75,8.052984,CA
255,Victor Harbor,2020876,-35.5667,138.6167,57.74000000000002,overcast clouds,59,100,6.1963238,AU
256,New Waterford,2010053,40.8451,-80.6145,69.62000000000006,few clouds,88,12,2.9974996000000003,US
257,Mildura,9550,-34.2,142.15,60.76400000000004,scattered clouds,36,40,8.052984,AU
258,Santiago Del Estero,2036434,-27.7951,-64.2615,64.79600000000005,few clouds,33,14,18.342908,AR
259,Warrnambool,2007682,-38.3833,142.4833,56.80400000000006,overcast clouds,62,100,7.449010200000001,AU
260,Caronport,1041,50.4501,-105.8179,46.58000000000004,clear sky,39,8,7.449010200000001,CA
261,Algiers,1060,36.7525,3.042,75.02000000000007,few clouds,57,20,6.9121446,DZ
262,Slave Lake,1008,55.2834,-114.769,53.58200000000002,clear sky,66,1,6.9121446,CA
263,Upington,1990,-28.4478,21.2561,57.57800000000007,clear sky,38,0,5.7489358,ZA
264,Kota Kinabalu,9371,5.9749,116.0724,85.98200000000003,few clouds,79,20,3.4448876000000004,MY
265,Winthrop,2019747,42.3751,-70.9828,62.25800000000001,clear sky,78,7,4.0712308,US
266,Trat,9245,12.5,102.5,75.39800000000002,overcast clouds,91,100,6.3081708,TH
267,Wembley,9586,-31.9333,115.8,69.29600000000005,clear sky,40,0,6.9121446,AU
268,Santa Marta,37763,11.2408,-74.199,82.97600000000008,overcast clouds,80,94,1.9908766000000002,CO
269,Paraiso,2007848,9.8383,-83.8656,63.464000000000034,overcast clouds,99,100,1.0289924000000001,CR
270,Mantua,2011529,45.1667,10.7833,63.68000000000004,overcast clouds,79,87,1.006623,IT
271,Camacha,6902,33.0833,-16.3333,69.20600000000003,scattered clouds,73,40,13.8019198,PT
272,Gien,2009159,47.6933,2.6309,64.25600000000003,overcast clouds,92,100,6.129215600000001,FR
273,Kununurra,9587,-15.7667,128.7333,96.78200000000002,broken clouds,30,65,5.7489358,AU
274,Roald,1602,62.5833,6.1333,49.01000000000008,overcast clouds,93,90,5.7489358,NO
275,Saint-Joseph,2127,-21.3667,55.6167,64.04000000000002,scattered clouds,73,37,11.3636552,RE
